field_header_stamp,field_servo1_position,field_u1
0.208,0,1.04719758
0.213999872,0,1.04719758
0.224999936,0,1.04719758
0.228999936,0,1.04719758
0.239000064,0,1.04719758
0.244,0,1.04719758
0.248999936,-0.436332315,1.04719758
0.253999872,-0.436332315,1.04719758
0.264999936,-0.383972436,1.04719758
0.269999872,-0.296705961,1.04719758
0.28,-0.157079637,1.04719758
0.289999872,-0.034906585,1.04719758
0.295000064,0.08726646,1.04719758
0.305999872,0.122173049,1.04719758
0.311000064,0.157079637,1.04719758
0.320999936,0.244346097,1.04719758
0.331000064,0.331612557,1.04719758
0.336,0.366519153,1.04719758
0.347000064,0.436332315,1.04719758
0.352,0.506145477,1.04719758
0.356999936,0.541052043,1.04719758
0.361999872,0.575958669,1.04719758
0.367000064,0.610865235,1.04719758
0.372,0.663225114,1.04719758
0.376999936,0.69813168,1.04719758
0.381999872,0.733038306,1.04719758
0.392999936,0.785398185,1.04719758
0.397999872,0.890117943,1.04719758
0.403000064,0.925024509,1.04719758
0.412999936,0.977384388,1.04719758
0.417999872,0.977384388,1.04719758
0.423000064,0.994837701,1.04719758
0.428999936,0.994837701,1.04719758
0.439000064,1.012290955,1.04719758
0.444,1.012290955,1.04719758
0.448999936,1.012290955,1.04719758
0.459000064,1.012290955,1.04719758
0.464,1.029744267,1.04719758
0.468999936,1.029744267,1.04719758
0.479000064,1.029744267,1.04719758
0.484,1.029744267,1.04719758
0.493999872,1.029744267,1.04719758
0.499000064,1.04719758,1.04719758
0.508999936,1.04719758,1.04719758
0.52,1.029744267,1.04719758
0.529999872,1.04719758,1.04719758
0.54,1.04719758,1.04719758
0.549999872,1.04719758,1.04719758
0.565999872,1.04719758,1.04719758
0.576,1.04719758,1.04719758
0.585999872,1.04719758,1.04719758
0.591000064,1.04719758,1.04719758
0.601999872,1.04719758,1.04719758
0.607000064,1.04719758,1.04719758
0.616999936,1.04719758,1.04719758
0.627000064,1.04719758,1.04719758
0.632,1.04719758,1.04719758
0.643000064,1.04719758,1.04719758
0.648,1.04719758,1.04719758
0.657999872,1.04719758,1.04719758
0.663000064,1.04719758,1.04719758
0.668,1.04719758,1.04719758
0.672999936,1.04719758,1.04719758
0.684,1.04719758,1.04719758
0.688999936,1.04719758,1.04719758
0.693999872,1.04719758,1.04719758
0.704,1.04719758,1.04719758
0.708999936,1.04719758,1.04719758
0.713999872,1.04719758,1.04719758
0.728999936,1.04719758,1.04719758
0.733999872,1.04719758,1.04719758
0.739000064,1.04719758,1.04719758
0.748999936,1.04719758,1.04719758
0.753999872,1.04719758,1.04719758
0.759000064,1.04719758,1.04719758
0.764,1.04719758,1.04719758
0.769999872,1.04719758,1.04719758
0.775000064,1.04719758,1.04719758
0.784999936,1.04719758,1.04719758
0.789999872,1.04719758,1.04719758
