field_header_stamp,field_servo1_position,field_u1
0.204,0,0.52359879
0.208999936,0,0.52359879
0.22,0.001,0.52359879
0.229999872,0.0028,0.52359879
0.24,0.005,0.52359879
0.244999936,0.01,0.52359879
0.249999872,0.02,0.52359879
0.26,0.03,0.52359879
0.271000064,0.04,0.52359879
0.276,0.06,0.52359879
0.285999872,0.08,0.52359879
0.291000064,0.1,0.52359879
0.300999936,0.1726646,0.52359879
0.312,0.191986218,0.52359879
0.316999936,0.226892799,0.52359879
0.327000064,0.383972436,0.52359879
0.336999936,0.453785598,0.52359879
0.341999872,0.453785598,0.52359879
0.352999936,0.471238911,0.52359879
0.357999872,0.471238911,0.52359879
0.368,0.488692194,0.52359879
0.377999872,0.488692194,0.52359879
0.388,0.506145477,0.52359879
0.399000064,0.506145477,0.52359879
0.404,0.506145477,0.52359879
0.419000064,0.52359879,0.52359879
0.424,0.52359879,0.52359879
0.435000064,0.52359879,0.52359879
0.44,0.52359879,0.52359879
