%time,field.header.seq,field.servo1_position,field.u1
0,0,-0.003842681,0
6.00E-03,1,-0.003842681,0
1.20E-02,2,-0.003842681,0
1.80E-02,3,-0.003842681,0
2.40E-02,4,-0.003842681,0
3.00E-02,5,-0.003842681,0
3.60E-02,6,-0.003842681,0
4.20E-02,7,-0.003842681,0
4.80E-02,8,-0.003842681,0.52359879
5.40E-02,9,-0.003842681,0.52359879
6.00E-02,10,-0.003842681,0.52359879
6.60E-02,11,0.002495772,0.52359879
7.20E-02,12,-0.003842681,0.52359879
7.80E-02,13,0.002495772,0.52359879
8.40E-02,14,-0.003842681,0.52359879
9.00E-02,15,-0.003842681,0.52359879
9.60E-02,16,-0.003842681,0.52359879
1.02E-01,17,1.428668857,0.52359879
1.08E-01,18,1.219496846,0.52359879
1.14E-01,19,1.010324836,0.52359879
1.20E-01,20,0.826506853,0.52359879
1.26E-01,21,0.744105637,0.52359879
1.32E-01,22,0.649027526,0.52359879
1.38E-01,23,0.617334843,0.52359879
1.44E-01,24,0.566626489,0.52359879
1.50E-01,25,0.522256553,0.52359879
1.56E-01,26,0.547610819,0.52359879
1.62E-01,27,0.534933746,0.52359879
1.68E-01,28,0.522256553,0.52359879
1.74E-01,29,0.370131493,0.52359879
1.80E-01,30,0.401824206,0.52359879
1.86E-01,31,0.446194112,0.52359879
1.92E-01,32,0.465209603,0.52359879
1.98E-01,33,0.477886796,0.52359879
2.04E-01,34,0.484225392,0.52359879
2.10E-01,35,0.490563869,0.52359879
2.16E-01,36,0.496902466,0.52359879
2.22E-01,37,0.496902466,0.52359879
2.28E-01,38,0.503241062,0.52359879
2.34E-01,39,0.503241062,0.52359879
2.40E-01,40,0.509579539,0.52359879
2.46E-01,41,0.515918136,0.52359879
2.52E-01,42,0.515918136,0.52359879
2.58E-01,43,0.515918136,0.52359879
2.64E-01,44,0.522256553,0.52359879
2.70E-01,45,0.522256553,0.52359879
2.76E-01,46,0.522256553,0.52359879
2.82E-01,47,0.522256553,0.52359879
2.88E-01,48,0.522256553,0.52359879
2.94E-01,49,0.579303503,0.52359879
3.00E-01,50,1.029340267,0.52359879
3.06E-01,51,0.522256553,0.52359879
3.12E-01,52,0.522256553,0.52359879
3.18E-01,53,0.522256553,0.52359879
3.24E-01,54,0.522256553,0.52359879
3.30E-01,55,0.522256553,0.52359879
3.36E-01,56,0.52859515,0.52359879
3.42E-01,57,0.52859515,0.52359879
3.48E-01,58,0.522256553,0.52359879
3.54E-01,59,0.52859515,0.52359879
3.60E-01,60,0.52859515,0.52359879
3.66E-01,61,0.522256553,0.52359879
3.72E-01,62,0.522256553,0.52359879
3.78E-01,63,0.522256553,0.52359879
3.84E-01,64,0.522256553,0.52359879
3.90E-01,65,0.52859515,0.52359879
3.96E-01,66,0.52859515,0.52359879
4.02E-01,67,0.52859515,0.52359879
4.08E-01,68,0.522256553,0.52359879
4.14E-01,69,0.522256553,0.52359879
4.20E-01,70,0.522256553,0.52359879
4.26E-01,71,0.52859515,0.52359879
4.32E-01,72,0.522256553,0.52359879
4.38E-01,73,0.522256553,0.52359879
4.44E-01,74,0.52859515,0.52359879
4.50E-01,75,0.522256553,0.52359879
4.56E-01,76,0.522256553,0.52359879
4.62E-01,77,0.522256553,0.52359879
4.68E-01,78,0.52859515,0.52359879
4.74E-01,79,0.522256553,0.52359879
4.80E-01,80,0.522256553,0.52359879
4.86E-01,81,0.522256553,0.52359879
4.92E-01,82,0.522256553,0.52359879
4.98E-01,83,0.522256553,0.52359879
5.04E-01,84,0.522256553,0.52359879
5.10E-01,85,0.522256553,0.52359879
5.16E-01,86,0.522256553,0.52359879
5.22E-01,87,0.52859515,0.52359879
5.28E-01,88,0.522256553,0.52359879
5.34E-01,89,0.52859515,0
5.40E-01,90,0.522256553,0
5.46E-01,91,0.52859515,0
5.52E-01,92,0.52859515,0
5.58E-01,93,0.52859515,0
5.64E-01,94,0.522256553,0
5.70E-01,95,0.522256553,0
5.76E-01,96,0.522256553,0
5.82E-01,97,0.522256553,0
5.88E-01,98,0.522256553,0
5.94E-01,99,1.847012997,0
6.00E-01,100,1.612486839,0
6.06E-01,101,1.390637517,0
6.12E-01,102,1.206819654,0
6.18E-01,103,1.086387157,0
6.24E-01,104,0.908908069,0
6.30E-01,105,0.820168257,0
6.36E-01,106,0.712412953,0
6.42E-01,107,0.630012035,0
6.48E-01,108,0.515918136,0
6.54E-01,109,0.465209603,0
6.60E-01,110,0.186313704,0
6.66E-01,111,0.141943797,0
6.72E-01,112,0.097573891,0
6.78E-01,113,0.072219782,0
6.84E-01,114,0.053204279,0
6.90E-01,115,0.04686553,0
6.96E-01,116,0.04052693,0
7.02E-01,117,0.027849879,0
7.08E-01,118,0.021511424,0
7.14E-01,119,0.021511424,0
7.20E-01,120,0.015172825,0
7.26E-01,121,0.008834372,0
7.32E-01,122,0.002495772,0
7.38E-01,123,0.002495772,0
7.44E-01,124,0.002495772,0
7.50E-01,125,-0.003842681,0
7.56E-01,126,-0.003842681,0
7.62E-01,127,-0.003842681,0
7.68E-01,128,0.04052693,0
7.74E-01,129,0.13560535,0
7.80E-01,130,-0.003842681,0
7.86E-01,131,-0.003842681,0
7.92E-01,132,-0.003842681,0
7.98E-01,133,-0.003842681,0
8.04E-01,134,-0.003842681,0
8.10E-01,135,-0.010181428,0
8.16E-01,136,-0.003842681,0
8.22E-01,137,-0.003842681,0
8.28E-01,138,-0.003842681,0
8.34E-01,139,-0.003842681,0
8.40E-01,140,-0.003842681,0
8.46E-01,141,-0.003842681,0
8.52E-01,142,-0.003842681,0
8.58E-01,143,-0.003842681,0
8.64E-01,144,-0.003842681,0
8.70E-01,145,-0.003842681,0
8.76E-01,146,-0.003842681,0
8.82E-01,147,-0.003842681,0
8.88E-01,148,-0.003842681,0
8.94E-01,149,-0.003842681,0
9.00E-01,150,-0.003842681,0
9.06E-01,151,0.002495772,0
9.12E-01,152,-0.003842681,0
9.18E-01,153,0.027849879,0
9.24E-01,154,-0.003842681,0
9.30E-01,155,-0.003842681,0
9.36E-01,156,-0.003842681,0
9.42E-01,157,-0.003842681,0
9.48E-01,158,-0.003842681,0
9.54E-01,159,-0.003842681,0
9.60E-01,160,-0.003842681,0
9.66E-01,161,-0.003842681,0
9.72E-01,162,-0.003842681,0
9.78E-01,163,0.002495772,0
9.84E-01,164,-0.003842681,0
9.90E-01,165,-0.003842681,0
9.96E-01,166,-0.003842681,0
1.00E+00,167,-0.003842681,0
1.01E+00,168,-0.003842681,0
1.01E+00,169,-0.003842681,0
1.02E+00,170,-0.003842681,0
1.03E+00,171,-0.003842681,0.52359879
1.03E+00,172,-0.003842681,0.52359879
1.04E+00,173,-0.003842681,0.52359879
1.04E+00,174,0.002495772,0.52359879
1.05E+00,175,-0.003842681,0.52359879
1.06E+00,176,-0.003842681,0.52359879
1.06E+00,177,-0.003842681,0.52359879
1.07E+00,178,-0.003842681,0.52359879
1.07E+00,179,-0.003842681,0.52359879
1.08E+00,180,1.42233026,0.52359879
1.09E+00,181,1.219496846,0.52359879
1.09E+00,182,1.010324836,0.52359879
1.10E+00,183,0.845522344,0.52359879
1.10E+00,184,0.75678283,0.52359879
1.11E+00,185,0.674381614,0.52359879
1.12E+00,186,0.591980577,0.52359879
1.12E+00,187,0.541272342,0.52359879
1.13E+00,188,0.522256553,0.52359879
1.13E+00,189,0.515918136,0.52359879
1.14E+00,190,0.509579539,0.52359879
1.15E+00,191,0.553949416,0.52359879
1.15E+00,192,0.370131493,0.52359879
1.16E+00,193,0.408162802,0.52359879
1.16E+00,194,0.446194112,0.52359879
1.17E+00,195,0.465209603,0.52359879
1.18E+00,196,0.4715482,0.52359879
1.18E+00,197,0.484225392,0.52359879
1.19E+00,198,0.490563869,0.52359879
1.19E+00,199,0.496902466,0.52359879
1.20E+00,200,0.496902466,0.52359879
1.21E+00,201,0.503241062,0.52359879
1.21E+00,202,0.503241062,0.52359879
1.22E+00,203,0.509579539,0.52359879
1.22E+00,204,0.509579539,0.52359879
1.23E+00,205,0.515918136,0.52359879
1.24E+00,206,0.515918136,0.52359879
1.24E+00,207,0.515918136,0.52359879
1.25E+00,208,0.522256553,0.52359879
1.25E+00,209,0.522256553,0.52359879
1.26E+00,210,0.522256553,0.52359879
1.27E+00,211,0.522256553,0.52359879
1.27E+00,212,0.534933746,0.52359879
1.28E+00,213,0.534933746,0.52359879
