u,D1,D2,trial1,t2,t3,t4,t5,t6,t7,t8,t9,t10,mean
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.1,0,1.62E-04,1.63E-04,1.59E-04,1.57E-04,1.59E-04,1.59E-04,1.59E-04,1.59E-04,1.59E-04,1.59E-04,1.60E-04
0.1,0.2,0,5.34E-04,5.32E-04,5.31E-04,5.29E-04,5.27E-04,5.28E-04,5.27E-04,5.27E-04,5.27E-04,5.28E-04,5.29E-04
0.15,0.3,0,0.000937581,0.000910064,0.000905381,0.0009032,0.000905381,0.000903058,0.0009032,0.000903058,0.000905381,0.000905381,0.000908168
0.2,0.4,0,0.001327473,0.001273039,0.001273039,0.001275332,0.001273039,0.001275332,0.001271892,0.001276491,0.001273039,0.001271892,0.001279057
0.25,0.5,0,0.00172607,0.0016686,0.001673344,0.00166628,0.0016686,0.001663882,0.0016686,0.001661485,0.001663882,0.001663882,0.001672462
0.3,0.6,0,0.00210802,0.002046562,0.002044051,0.002032016,0.002035512,0.002038015,0.002044051,0.002038015,0.00202952,0.002033008,0.002044877
0.35,0.7,0,0.00251388,0.002480684,0.002468016,0.00247564,0.002465645,0.002468016,0.00247826,0.002457834,0.00247302,0.002468016,0.002474901
0.4,0.8,0,0.002887994,0.002845728,0.002848448,0.002857616,0.002851169,0.002844763,0.002854887,0.002844763,0.002848448,0.002836627,0.002852044
0.45,0.9,0,0.003285272,0.003270105,0.003245453,0.003261559,0.003247801,0.003242123,0.003245453,0.00325064,0.003226199,0.003242623,0.003251723
0.5,1,0,0.003871593,0.003879014,0.003856792,0.003791578,0.003788579,0.003812551,0.003769246,0.003786976,0.003788579,0.00377958,0.003812449
0.55,1,0.1,0.004020585,0.004060093,0.004013133,0.003984125,0.003939242,0.003939242,0.003939242,0.003955534,0.003925107,0.003939242,0.003971554
0.6,1,0.2,0.004586454,0.004453073,0.004404397,0.004387883,0.004371491,0.004339814,0.004387883,0.004323663,0.004339814,0.004339814,0.004393429
0.65,1,0.3,0.005000116,0.004804381,0.00475303,0.004827676,0.004771475,0.004720251,0.004720251,0.004720251,0.004720251,0.004684039,0.004772172
0.7,1,0.4,0.005393558,0.005237989,0.005148732,0.005094151,0.005053673,0.005033674,0.005033674,0.005073832,0.005053673,0.005073832,0.005119679
0.75,1,0.5,0.005768022,0.005601706,0.005428356,0.005450722,0.005371517,0.005371517,0.005349654,0.005349654,0.005315141,0.005336862,0.005434315
0.8,1,0.6,0.006155189,0.006038893,0.005660453,0.005566475,0.005660453,0.005708081,0.005648641,0.005672405,0.005684167,0.005648641,0.00574434
0.85,1,0.7,0.006579037,0.006444399,0.006065069,0.006012941,0.006038893,0.006028311,0.005950925,0.005950925,0.005950925,0.005976499,0.006099792
0.9,1,0.8,0.00688737,0.00688737,0.00637798,0.006293948,0.006256705,0.006349721,0.006293948,0.006312148,0.006229347,0.006229347,0.006411788
0.95,1,0.9,7.28E-03,7.28E-03,6.75E-03,6.64E-03,6.59E-03,6.58E-03,6.61E-03,6.62E-03,6.59E-03,6.55E-03,6.75E-03
1,1,1,7.86E-03,8.07E-03,7.20E-03,7.13E-03,7.10E-03,7.03E-03,6.96E-03,7.02E-03,7.03E-03,7.10E-03,7.25E-03
