time,field.header.seq,field.header.stamp,field.header.frame_id,field.joint_angle,field.servo1_position,field.servo2_position,field.motor_current,field.servo1_current,field.servo2_current,field.u1,field.u2,field.u3
1.50E+18,601,1.50E+18,,-0.142445452,0.004256696,0.001790929,0.287832853,0.399117947,0.848000526,0.752236908,0.383972435,0
1.50E+18,602,1.50E+18,,-0.142445452,0.004256696,0.001790929,0.395433091,0.399117947,0.798237801,0.752236908,0.371755131,0
1.50E+18,603,1.50E+18,,-0.136353466,0.010535481,0.001790929,0.368533031,0.299587727,0.698705196,0.752236908,0.371755131,0
1.50E+18,604,1.50E+18,,-0.136353466,0.010535481,0.001790929,0.234031445,0.448885441,0.848000526,0.753982237,0.371755131,0
1.50E+18,605,1.50E+18,,-0.142445452,-0.002022088,0.001790929,0.207131386,0.448885441,0.848000526,0.753982237,0.371755131,0
1.50E+18,606,1.50E+18,,-0.136353466,0.688648096,0.587273083,0.42233315,-1.093842506,-0.744490147,0.72431164,0.368264472,0
1.50E+18,607,1.50E+18,,-0.142445452,0.682369312,0.612455116,0.44923321,-1.044077396,0.400114536,0.675442421,0.359537826,0
1.50E+18,608,1.50E+18,,-0.136353466,0.600744815,0.549499958,0.287832853,-0.645956516,-0.445899487,0.623082543,0.352556509,0
1.50E+18,609,1.50E+18,,-0.136353466,0.500283514,0.48024948,0.44923321,-0.347361088,-0.197071552,0.623082543,0.352556509,0
1.50E+18,610,1.50E+18,,-0.142445452,0.544235305,0.133996564,0.314732912,-0.297595978,0.748472691,0.579449312,0.347320521,0
1.50E+18,611,1.50E+18,,-0.142445452,0.575629377,0.209542739,0.42233315,-0.098535538,0.848000526,0.548033385,0.347320521,0
1.50E+18,612,1.50E+18,,-0.13026148,0.619581168,0.253611183,0.234031445,-0.098535538,0.848000526,0.548033385,0.347320521,0
1.50E+18,613,1.50E+18,,-0.124169494,0.506562299,0.316566341,0.153331267,0.349352837,0.848000526,0.528834763,0.35081118,0
1.50E+18,614,1.50E+18,,-0.09980155,0.563071809,0.335452753,0.314732912,0.399117947,0.897768021,0.528834763,0.35081118,0
1.50E+18,615,1.50E+18,,-0.087617286,0.575629377,0.341748299,0.314732912,0.299587727,0.748472691,0.516617459,0.357792497,0
1.50E+18,616,1.50E+18,,-0.057157356,0.851897391,0.354339315,0.207131386,0.399117947,0.798237801,0.509636142,0.364773814,0
1.50E+18,617,1.50E+18,,-0.014513162,0.588187096,0.348043769,0.207131386,0.349352837,0.848000526,0.506145483,0.375245789,1
1.50E+18,618,1.50E+18,,0.01594706,0.581908161,0.348043769,0.153331267,0.399117947,0.698705196,0.506145483,0.375245789,1
1.50E+18,619,1.50E+18,,0.052499267,0.575629377,0.348043769,0.341631683,0.647945881,-2.187687874,0.504400154,0.383972435,1
1.50E+18,620,1.50E+18,,0.107327433,0.55051409,0.354339315,0.503034617,0.399117947,0.848000526,0.504400154,0.390953752,1
1.50E+18,621,1.50E+18,,0.156063613,0.55051409,0.360634861,0.260931505,0.299587727,0.648940086,0.504400154,0.390953752,1
1.50E+18,622,1.50E+18,,0.192615529,0.537956521,0.360634861,0.260931505,0.448885441,0.748472691,0.509636142,0.39618974,1
1.50E+18,623,1.50E+18,,0.241351709,0.537956521,0.360634861,0.180231326,0.249822617,0.648940086,0.518362788,0.399680399,1
1.50E+18,624,1.50E+18,,0.283995903,0.537956521,0.360634861,0.126429919,0.399117947,0.648940086,0.518362788,0.399680399,1
1.50E+18,625,1.50E+18,,0.314456124,0.525398802,0.373225878,0.207131386,0.399117947,0.648940086,0.532325422,0.401425728,1
1.50E+18,626,1.50E+18,,0.351008332,0.556792874,0.379521348,0.476133269,0.349352837,0.648940086,0.532325422,0.401425728,1
1.50E+18,627,1.50E+18,,0.381468262,0.525398802,0.379521348,0.04572974,0.349352837,0.599174976,0.549778714,0.401425728,1
1.50E+18,628,1.50E+18,,0.39974422,0.537956521,0.392112289,0.368533031,0.349352837,0.698705196,0.572467995,0.399680399,1
1.50E+18,629,1.50E+18,,0.424112456,0.519119867,0.392112289,0.341631683,0.349352837,0.549409866,0.572467995,0.399680399,1
1.50E+18,630,1.50E+18,,0.442388706,0.575629377,0.398407911,0.260931505,0.349352837,0.599174976,0.596902604,0.39618974,1
1.50E+18,631,1.50E+18,,0.454572386,1.856508595,0.398407911,0.234031445,0.399117947,0.648940086,0.623082543,0.392699082,1
1.50E+18,632,1.50E+18,,0.46675665,0.525398802,0.398407911,0.42233315,0.349352837,0.648940086,0.649262482,0.389208423,1
1.50E+18,633,1.50E+18,,0.478940622,0.544235305,0.398407911,0.234031445,-2.288212299,0.599174976,0.649262482,0.389208423,1
1.50E+18,634,1.50E+18,,0.478940622,1.881624033,0.064746011,0.234031445,-2.288212299,0.648940086,0.675442421,0.385717765,1
1.50E+18,635,1.50E+18,,0.485032608,0.563071809,0.404703381,0.0726298,0.448885441,0.698705196,0.675442421,0.385717765,1
1.50E+18,636,1.50E+18,,0.478940622,0.575629377,0.398407911,0.314732912,0.349352837,0.748472691,0.69987703,0.383972435,1
1.50E+18,637,1.50E+18,,0.472848636,0.588187096,0.398407911,0.287832853,0.050762176,0.848000526,0.720820981,0.382227106,1
1.50E+18,638,1.50E+18,,0.472848636,0.607023299,0.398407911,0.207131386,0.299587727,0.648940086,0.720820981,0.382227106,1
1.50E+18,639,1.50E+18,,0.460664664,0.632138737,0.398407911,0.314732912,0.448885441,0.599174976,0.741764932,0.380481777,0
