time,field.header.seq,field.header.stamp,field.header.frame_id,field.joint_angle,field.servo1_position,field.servo2_position,field.motor_current,field.servo1_current,field.servo2_current,field.u1,field.u2,field.u3
1.50E+18,410,1.50E+18,,-0.154629715,0.004256696,0.001790929,0.01883097,0.349352837,0.798237801,1.000073661,0.860447321,0
1.50E+18,411,1.50E+18,,-0.16072141,0.004256696,0.001790929,0.341631683,0.299587727,0.798237801,1.000073661,0.893608577,0
1.50E+18,412,1.50E+18,,-0.154629715,0.004256696,0.001790929,0.126429919,0.299587727,0.698705196,1.000073661,0.893608577,0
1.50E+18,413,1.50E+18,,-0.154629715,0.010535481,0.001790929,0.287832853,0.249822617,0.798237801,1.000073661,0.72256631,0
1.50E+18,414,1.50E+18,,-0.154629715,0.789109247,0.719478718,0.207131386,-1.143610001,-0.993318081,0.923279174,0.359537826,0
1.50E+18,415,1.50E+18,,-0.154629715,0.682369312,0.599864024,0.207131386,-1.093842506,-0.943552971,0.923279174,0.359537826,0
1.50E+18,416,1.50E+18,,-0.154629715,0.619581168,0.543204638,0.207131386,-0.845014572,-0.495664597,0.610865238,0,0
1.50E+18,417,1.50E+18,,-0.16072141,0.519119867,0.467658388,0.153331267,-0.546423912,-0.097541332,0.464257581,0,0
1.50E+18,418,1.50E+18,,-0.148537729,0.500283514,0.448771977,0.207131386,-0.347361088,-0.047776222,0.464257581,0,0
1.50E+18,419,1.50E+18,,-0.154629715,0.563071809,0.196951722,0.0726298,-0.297595978,0.748472691,0.375245789,0,0
1.50E+18,420,1.50E+18,,-0.154629715,0.399822364,1.92821585,0.314732912,0.349352837,-2.237452984,0.336848546,0,0
1.50E+18,421,1.50E+18,,-0.136353466,0.475168227,1.594554252,0.42233315,0.299587727,-1.490971565,0.336848546,0,0
1.50E+18,422,1.50E+18,,-0.118077508,1.580240882,0.373225878,0.207131386,-1.890089035,-0.097541332,0.308923278,0,0
1.50E+18,423,1.50E+18,,-0.093709272,1.699538386,0.196951722,0.476133269,-0.048770428,0.001991272,0.277507351,0,0
1.50E+18,424,1.50E+18,,-0.06324905,1.486058516,-0.11152822,0.099531148,-1.691028595,0.648940086,0.277507351,0,0
1.50E+18,425,1.50E+18,,-0.03278912,0.500283514,0.102519061,0.0726298,0.249822617,0.698705196,0.246091425,0.050614548,1
1.50E+18,426,1.50E+18,,-0.002328898,0.456331874,0.077337028,0.126429919,0.349352837,0.648940086,0.218166156,0.127409035,1
1.50E+18,427,1.50E+18,,0.040315004,0.418658867,0.052154995,0.180231326,-1.691028595,0.848000526,0.218166156,0.127409035,1
1.50E+18,428,1.50E+18,,0.070775225,0.380986011,0.039563978,0.287832853,0.299587727,0.748472691,0.216420827,0.150098316,1
1.50E+18,429,1.50E+18,,0.095143461,0.330755285,1.688986762,0.153331267,0.299587727,-2.187687874,0.244346095,0.118682389,1
1.50E+18,430,1.50E+18,,0.125603391,0.324476651,0.033268508,0.180231326,0.249822617,0.748472691,0.244346095,0.118682389,1
1.50E+18,431,1.50E+18,,0.143879641,0.299361364,0.045859524,0.0726298,0.249822617,0.648940086,0.294960644,0.052359878,1
1.50E+18,432,1.50E+18,,0.156063613,0.267967141,0.071041557,0.287832853,0.249822617,0.648940086,0.345575192,0,1
1.50E+18,433,1.50E+18,,0.180431557,0.255409422,0.089928044,0.395433091,0.349352837,0.698705196,0.345575192,0,1
1.50E+18,434,1.50E+18,,0.198707515,0.249130638,0.108814531,0.126429919,0.150290012,0.599174976,0.385717765,0,1
1.50E+18,435,1.50E+18,,0.198707515,0.399822364,0.713183248,0.368533031,-1.243137837,-1.092848301,0.429350996,0,1
1.50E+18,436,1.50E+18,,0.198707515,0.267967141,0.108814531,0.260931505,0.349352837,0.648940086,0.429350996,0,1
